Iteration Result
1 0.358104
2 0.184656
3 0.213019
4 0.271753
5 0.292570
6 0.075217
7 0.414196
8 0.337028
9 0.240386
10 0.343341
11 0.028877
12 0.323036
13 0.038533
14 0.348860
15 0.010773
16 0.167644
17 0.386184
18 0.384170
19 0.396179
20 0.389253
1 0.389885
2 0.149258
3 0.509497
4 0.453294
5 0.271205
6 0.439675
7 0.520195
8 0.254107
9 0.064340
10 0.108930
11 0.094258
12 0.311902
13 0.314191
14 0.361359
15 0.332379
16 0.352358
17 0.101927
18 0.384134
19 0.389224
20 0.393823
1 0.460090
2 0.430372
3 0.167069
4 0.247183
5 0.466588
6 0.261787
7 0.224346
8 0.143581
9 0.449643
10 0.411363
11 0.487908
12 0.490360
13 0.210031
14 0.105634
15 0.420032
16 0.428922
17 0.252935
18 0.435889
19 0.434587
20 0.203640
1 0.417450
2 0.266515
3 0.352922
4 0.306389
5 0.289310
6 0.038320
7 0.085671
8 0.103170
9 0.122322
10 0.210869
11 0.242168
12 0.303695
13 0.001959
14 0.002891
15 0.137693
16 0.205996
17 0.353368
18 0.356405
19 0.361140
20 0.363473
1 0.281006
2 0.421557
3 0.324546
4 0.335120
5 0.104758
6 0.113675
7 0.097248
8 0.383822
9 0.184874
10 0.392198
11 0.124706
12 0.033729
13 0.153837
14 0.261446
15 0.007692
16 0.329297
17 0.308593
18 0.310779
19 0.048550
20 0.159607
1 0.025947
2 0.320746
3 0.139142
4 0.378995
5 0.327627
6 0.386093
7 0.358999
8 0.264627
9 0.210842
10 0.195791
11 0.407287
12 0.416424
13 0.252136
14 0.200268
15 0.245636
16 0.295896
17 0.341907
18 0.359382
19 0.375164
20 0.159606
1 0.335831
2 0.206069
3 0.124149
4 0.033101
5 0.369879
6 0.365828
7 0.056631
8 0.424855
9 0.411088
10 0.428260
11 0.145490
12 0.163969
13 0.439524
14 0.442030
15 0.440837
16 0.439899
17 0.196020
18 0.440348
19 0.176490
20 0.351607
1 0.377234
2 0.298882
3 0.192328
4 0.196487
5 0.142288
6 0.036905
7 0.063571
8 0.286212
9 0.159400
10 0.000133
11 0.045036
12 0.419604
13 0.338953
14 0.366225
15 0.365744
16 0.347522
17 0.356282
18 0.185594
19 0.335583
20 0.145477
1 0.196877
2 0.421278
3 0.428167
4 0.241152
5 0.404875
6 0.000937
7 0.085503
8 0.224884
9 0.301895
10 0.343847
11 0.245456
12 0.384130
13 0.380431
14 0.401581
15 0.011705
16 0.131851
17 0.413979
18 0.253509
19 0.191269
20 0.176451
1 0.017549
2 0.148720
3 0.232232
4 0.255467
5 0.291691
6 0.305741
7 0.352774
8 0.083450
9 0.063665
10 0.268560
11 0.304850
12 0.273124
13 0.303894
14 0.241090
15 0.253903
16 0.324526
17 0.341143
18 0.349425
19 0.346890
20 0.349759
1 0.318887
2 0.363333
3 0.424791
4 0.443263
5 0.482821
6 0.387107
7 0.476325
8 0.474824
9 0.474437
10 0.069280
11 0.007424
12 0.055006
13 0.001113
14 0.045388
15 0.297191
16 0.289893
17 0.135775
18 0.035462
19 0.051240
20 0.378104
1 0.373509
2 0.054769
3 0.014182
4 0.243239
5 0.229012
6 0.014737
7 0.263473
8 0.317012
9 0.341720
10 0.063480
11 0.017049
12 0.006087
13 0.055137
14 0.391290
15 0.391120
16 0.391688
17 0.392392
18 0.392501
19 0.392171
20 0.092633
1 0.323221
2 0.361749
3 0.210542
4 0.110861
5 0.335471
6 0.233295
7 0.276731
8 0.209014
9 0.411288
10 0.384801
11 0.408786
12 0.419249
13 0.417156
14 0.418752
15 0.182594
16 0.413973
17 0.225728
18 0.422709
19 0.422130
20 0.422160
1 0.290480
2 0.269089
3 0.346243
4 0.382257
5 0.391117
6 0.400511
7 0.211388
8 0.278301
9 0.390622
10 0.402372
11 0.049124
12 0.402189
13 0.403514
14 0.199988
15 0.405986
16 0.143797
17 0.404234
18 0.346881
19 0.154797
20 0.403810
1 0.248421
2 0.198052
3 0.441966
4 0.368182
5 0.124750
6 0.439553
7 0.302291
8 0.448459
9 0.446254
10 0.208927
11 0.271673
12 0.428609
13 0.043185
14 0.347071
15 0.130505
16 0.395053
17 0.017726
18 0.235540
19 0.412398
20 0.410709
1 0.531804
2 0.311712
3 0.354048
4 0.321245
5 0.004052
6 0.557835
7 0.352226
8 0.552375
9 0.552735
10 0.012012
11 0.321071
12 0.094964
13 0.365688
14 0.388397
15 0.408194
16 0.449108
17 0.418712
18 0.430251
19 0.434066
20 0.437819
1 0.126648
2 0.113813
3 0.181405
4 0.375578
5 0.359028
6 0.436044
7 0.182893
8 0.179021
9 0.278218
10 0.071652
11 0.369821
12 0.274524
13 0.205541
14 0.351688
15 0.186421
16 0.148729
17 0.255991
18 0.023556
19 0.117061
20 0.034624
1 0.295452
2 0.422311
3 0.525173
4 0.000136
5 0.158174
6 0.107794
7 0.235504
8 0.245129
9 0.290606
10 0.346488
11 0.356880
12 0.043851
13 0.373736
14 0.018629
15 0.374290
16 0.406971
17 0.404765
18 0.425776
19 0.220939
20 0.374077
1 0.105198
2 0.284891
3 0.224945
4 0.337238
5 0.278361
6 0.307633
7 0.384598
8 0.322005
9 0.419849
10 0.410873
11 0.271362
12 0.073565
13 0.073889
14 0.182252
15 0.276213
16 0.325912
17 0.339000
18 0.339650
19 0.347209
20 0.349241
1 0.226605
2 0.484273
3 0.419746
4 0.415998
5 0.435290
6 0.412725
7 0.258372
8 0.376367
9 0.100365
10 0.429475
11 0.135779
12 0.141484
13 0.007266
14 0.196156
15 0.007675
16 0.133850
17 0.230715
18 0.110186
19 0.245732
20 0.090887
